19;67
16;51
17;450
18;70
19;87
13;80
22;41
13;61
8;71
15;66
14;39
8;43
8;63
16;35
11;57
23;74
16;64
24;64
22;66
8;48
19;53
13;56
12;52
11;370
18;44
15;47
4;54
8;49
4;52
14;62
19;56
4;62
12;50
13;48
11;74
15;74
15;47
19;83
19;64
16;42
21;64
16;46
19;35
12;83
8;64
14;80
19;43
10;40
16;64
12;62
13;65
11;45
14;67
13;60
13;101
12;94
19;46
18;55
12;65
13;73
13;69
12;39
6;57
14;96
17;50
6;45
18;40
15;70
11;57
12;67
14;49
17;63
16;79
24;62
22;71
15;68
22;49
17;56
14;57
10;53
18;67
11;62
15;43
9;47
22;60
17;65
18;83
13;66
15;55
22;79
17;29
10;63
14;35
14;58
10;42
3;55
19;67
19;52
21;50
12;65
6;71
21;55
10;67
9;90
15;68
16;86
21;37
25;55
13;56
14;76
16;56
17;42
15;78
13;48
19;44
14;49
15;20
13;61
13;87
10;66
12;63
17;73
7;58
23;64
20;63
5;53
16;60
18;49
17;62
16;55
16;69
29;56
12;67
20;46
18;70
12;60
11;62
8;56
21;63
19;75
13;62
19;57
22;22
16;80
17;58
13;67
11;60
15;40
15;41
19;59
12;58
17;69
21;71
19;57
19;57
18;40
13;48
13;36
22;55
12;62
15;48
15;39
14;75
20;39
15;68
21;57
15;78
23;46
20;68
15;36
8;74
18;93
11;61
15;62
13;60
10;69
17;71
11;87
6;46
13;54
15;78
18;36
14;40
16;69
11;70
11;70
16;68
17;31
11;36
15;40
25;58
22;61
18;35
16;43
4;51
7;63
8;77
17;37
22;69
11;59
